Company,Domain,Total Employees,US Employees,Non-US Employees,Non-US Breakdown
BRI,blockchainresearchinstitute.org,1,0,1,Canada: 1
LEO Learning Brasil,revvo.com.br,1,0,1,Brazil: 1
CHEM CONCRETETM,chemconcrete.com.au,1,0,1,Australia: 1
Influence me,influence-me.online,1,0,1,Egypt: 1
HalaHi,halahi.com,1,0,1,United Arab Emirates: 1
Trucking Hub,truckinghub.com,1,0,1,Serbia: 1
PT Ultrajaya,ultrajaya.co.id,1,0,1,Indonesia: 1
StartSe,startse.com,1,0,1,Brazil: 1
Softec Technologies,softec.ai,1,0,1,Egypt: 1
United Airlines,united.com,2,1,1,Greater Chicago Area: 1
Vai Tourinho S/A,combitrans.com.br,1,0,1,Brazil: 1
Government of the People's Republic of Bangladesh,bangladesh.gov.bd,1,0,1,Bangladesh: 1
Diksha Arora Dot Com LLP,dikshaarora.com,1,0,1,India: 1
JUSPAY,juspay.io,1,0,1,Ireland: 1
TELUSKO,telusko.com,1,0,1,India: 1
Zlade,shopzlade.com,1,0,1,India: 1
Syz Group,syzgroup.com,1,0,1,Switzerland: 1
Alita,sahajbana.in,1,0,1,India: 1
ARHZOM | Asociación de Recursos Humanos Zona Metropolitana,arhzom.com,1,0,1,Mexico: 1
Ehab Mesallum for Managerial Development,ehabmesallum.com,1,0,1,Egypt: 1
Academia Internacional de Liderazgo,johannagomez.co,1,0,1,Colombia: 1
First American,firstam.com,1,0,1,India: 1
GREAT TO GREAT CONSULTANT,greattogreat.com,1,0,1,Indonesia: 1
Community Empowerment Lab (CEL),celworld.org,1,0,1,India: 1
FinAdvantage,finadvantage.com,1,0,1,India: 1
InMobi,inmobi.com,1,0,1,India: 1
Cognizant,cognizant.com,3,2,1,India: 1
Cassava Technologies,cassavatechnologies.com,1,0,1,United Kingdom: 1
Protiviti Middle East Member Firm,protiviti.com,1,0,1,Qatar: 1
Dubai Culture & Arts Authority,dubaiculture.gov.ae,1,0,1,United Arab Emirates: 1
Fundação de Apoio à Pesquisa - FUNAPE,funape.org.br,1,0,1,Brazil: 1
Meta,meta.com,4,3,1,United Kingdom: 1
Maschmeyer Group,maschmeyer-group.de,1,0,1,Germany: 1
Avalon Consulting,consultavalon.com,1,0,1,India: 1
High Performance Founder,dango.co,1,0,1,Canada: 1
Alpha Startups Fund,alphastartups.net,1,0,1,China: 1
ESSEC Business School,essec.edu,1,0,1,France: 1
纬思文化 Wild Theory,ebwings.com,1,0,1,China: 1
Zero2Launch,02launch.xyz,1,0,1,Malaysia: 1
Bajaj Auto Ltd,bajajauto.com,1,0,1,India: 1
ChapterPal,chapterpal.com,1,0,1,Greater Quebec City Metropolitan Area: 1
inova.etc,inovaetc.com,1,0,1,Brazil: 1
10 Downing Street,number10.gov.uk,1,0,1,United Kingdom: 1
Mousa Al-Bharna | MousaCoaching.com,mousacoaching.com,1,0,1,Saudi Arabia: 1
NUMEN,numenit.com,1,0,1,Brazil: 1
Sambatech,gruposamba.com.br,1,0,1,Brazil: 1
Advanced Consultancy Center (ACC),advconcenter.net,1,0,1,Egypt: 1
Youtube,learnyst.com,1,0,1,India: 1
item – industrial applications,item24.com,1,0,1,Germany: 1
Alcance Assessoria,alcanceassessoria.com.br,1,0,1,Brazil: 1
Philips,philips.com,1,0,1,India: 1
Bajaj General Insurance,bajajgeneralinsurance.com,1,0,1,India: 1
Win Solutions Assessoria Empresarial,winsassessoria.com.br,1,0,1,Brazil: 1
Daniela Luque Díaz - Agencia de Marketing de Autoridad y Marca Personal,danielaluque.com,1,0,1,Sweden: 1
E.Leclerc,e.leclerc,1,0,1,France: 1
KEOS BS,keos-bs.fr,1,0,1,France: 1
WeSource HR,wesource.ae,1,0,1,United Arab Emirates: 1
GrowthSchool,growthschool.io,1,0,1,India: 1
Australian Government,australia.gov.au,1,0,1,Australia: 1
Nine Blocks Capital Management,nineblockscapital.com,1,0,1,United Arab Emirates: 1
Santander,santander.com,1,0,1,Spain: 1
EBS Universität für Wirtschaft und Recht,ebs.edu,1,0,1,Germany: 1
Uno TV,unotv.com,1,0,1,Mexico: 1
GIC,gic.com.sg,2,1,1,Singapore: 1
Mentored Studios,mentored.com.au,1,0,1,Australia: 1
Vacancies,vacancies.ae,1,0,1,United Arab Emirates: 1
Zinzino,zinzino.com,1,0,1,Netherlands: 1
Apple,apple.com,4,3,1,Hong Kong SAR: 1
Jacobs,jacobs.com,1,0,1,India: 1
Doyen Engineering,doyenservices.com,1,0,1,India: 1
MarketingProfs,marketingprofs.com,1,0,1,Greater Boston: 1
Eric Partaker's Founder & CEO Accelerator,ericpartaker.com,1,0,1,United Kingdom: 1
UIUX.STUDIO,uiux.studio,1,0,1,India: 1
MarkitUp,markitup.in,1,0,1,India: 1
1% Club,onepercentclub.io,1,0,1,India: 1
MiddleGame Ventures,middlegamevc.com,1,0,1,Luxembourg: 1
Nação Fluente,nacaofluente.com,1,0,1,Brazil: 1
UPLIFTING YOU,upliftingyou.online,1,0,1,India: 1
midudev,midu.dev,1,0,1,Spain: 1
Denyze Santos,denyzesantos.com.br,1,0,1,Brazil: 1
Automobili Lamborghini S.p.A.,lamborghini.com,1,0,1,Italy: 1
Fincluyente,fincluyente.com,1,0,1,Mexico: 1
Careerflow.ai,careerflow.ai,1,0,1,Greater Seattle Area: 1
TheValueChain,thevaluechain.eu,1,0,1,Netherlands: 1
Headline,headline.com,1,0,1,Brazil: 1
United States Olympic & Paralympic Committee,usopc.org,1,0,1,Los Angeles Metropolitan Area: 1
JR Diesel,jrdiesel.com.br,1,0,1,Brazil: 1
Fidelity Investments,fidelity.com,1,0,1,Canada: 1
Games2win India Pvt Ltd,games2winmedia.com,1,0,1,India: 1
Cia de Talentos,ciadetalentos.com.br,1,0,1,Brazil: 1
Australian Chiropractors Association,chiro.org.au,1,0,1,Greater Sydney Area: 1
European Startup Network,europeanstartupnetwork.eu,1,0,1,Belgium: 1
Stealth AI Startup,stealth-startups.com,2,1,1,Canada: 1
AllRework,allrework.com,1,0,1,Spain: 1
100 Coaches Agency,100coaches.com,1,0,1,Argentina: 1
Global Exporters Platform,globalexportersplatfrom.com,1,0,1,Türkiye: 1
Bernhard Schulte Shipmanagement,bs-shipmanagement.com,1,0,1,India: 1
UNISAGRADO,unisagrado.edu.br,1,0,1,Brazil: 1
亚东人力资源,easia.cn,1,0,1,China: 1
JLL,co.jll,2,1,1,India: 1
Checkmate Fashion,checkmate.fashion,1,0,1,Bangladesh: 1
PepsiCo,pepsico.com,2,1,1,Mexico: 1
Virgin,virgin.com,1,0,1,United Kingdom: 1
Lenskart.com,lenskart.com,1,0,1,India: 1
Safari Group HR,safari-group.com,1,0,1,Argentina: 1
HDFC Bank,hdfcbank.com,1,0,1,India: 1
Zeno,zeno.earth,1,0,1,India: 1
The University of Manchester - Dubai,manchester.ac.ae,1,0,1,United Arab Emirates: 1
Fundación INECO,fundacionineco.org,1,0,1,Argentina: 1
Weleda AG,weleda.de,1,0,1,Switzerland: 1
EXPERTOS  en Competencias y Conductas,expertosencompetencias.com,1,0,1,Mexico: 1
Walmart,walmart.com,3,2,1,India: 1
Inc42 Media,inc42.com,1,0,1,India: 1
