name,domain,country,city,industry,estimated_num_employees,linkedin_url,keywords
Feather Marketing Solutions | شركة فيذر للتسويق,feathersa.com,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/feathersaudi,
EVAM,evam.com,Turkey,Atasehir,,,http://www.linkedin.com/company/evamtech,
Kunduz,kunduz.com,Turkey,Istanbul,,,http://www.linkedin.com/company/kunduz,
Workshopers,workshopers.com,Turkey,Istanbul,,,http://www.linkedin.com/company/workshopers,
TNT Multimedia,tntmultimedia.com,Turkey,,,,http://www.linkedin.com/company/tnt-multimedia,
Worksy,worksy.co,Turkey,Istanbul,,,http://www.linkedin.com/company/worksy-employee-platform,
Virtual Projects,virtualprojects.co,Turkey,Istanbul,,,http://www.linkedin.com/company/virtual-projects-studios,
daily.dev,daily.dev,Israel,Tel Aviv-Yafo,,,http://www.linkedin.com/company/dailydotdev,
Guardicore,guardicore.com,Israel,Tel Aviv-Yafo,,,http://www.linkedin.com/company/guardicore,
Wave Adv,wave-adv.co.il,Israel,Omer,,,http://www.linkedin.com/company/waveadv,
Blip,blip.ai,Brazil,Belo Horizonte,,,http://www.linkedin.com/company/blipbr,
Ambev Tech,ambevtech.com.br,Brazil,Blumenau,,,http://www.linkedin.com/company/ambevtech,
Grupo PRIMO,grupo-primo.com,Brazil,Barueri,,,http://www.linkedin.com/company/grupo-primo,
Agenda Edu,agendaedu.com,Brazil,Fortaleza,,,http://www.linkedin.com/company/agendaedu,
aunica Interactive Marketing,aunica.com,Brazil,Sao Paulo,,,http://www.linkedin.com/company/aunicainteractive,
Camino Education,cloeedu.com.br,Brazil,Sao Paulo,,,http://www.linkedin.com/company/cloeplatform,
Adobe Assessoria de Serviços Cadastrais,adobenet.com.br,Brazil,Sao Paulo,,,http://www.linkedin.com/company/adobe-assessoria,
Concilig,concilig.com.br,Brazil,Bauru,,,http://www.linkedin.com/company/concilig,
WeClever,weclever.ai,Brazil,Pocos de Caldas,,,http://www.linkedin.com/company/wecleverai,
EISA,eisatecnologia.com.br,Brazil,Sao Paulo,,,http://www.linkedin.com/company/eisa-tecnologia,
Conquista Solução Educacional,educacaoconquista.com.br,Brazil,Curitiba,,,http://www.linkedin.com/company/conquistasolucaoeducacional,
N7,numerosete.com.br,Brazil,Rio de Janeiro,,,http://www.linkedin.com/company/n%c3%bamero7,
Hubox,hubox.online,Brazil,Curitiba,,,http://www.linkedin.com/company/hub-intelig%c3%aancia-e-marketing-digital,
Havas Media México,havasmedia.com.mx,Mexico,,,,http://www.linkedin.com/company/havas-media-mexico,
Leadgenios,leadgenios.com,Mexico,Mexico City,,,http://www.linkedin.com/company/leadgeniosmx,
ATENTO México,platformsuisse.net,Mexico,Mexico City,,,http://www.linkedin.com/company/atento-mexico,
Paprika,paprika.mx,Mexico,Monterrey,,,http://www.linkedin.com/company/paprikamx,
BLUERABBIT,bluerabbit.io,Mexico,Mexico City,,,http://www.linkedin.com/company/bluerabbitclass,
Guerrero,guerrero.digital,Mexico,Monterrey,,,http://www.linkedin.com/company/guerrero-publicidad,
COMFAMA,comfama.com,Colombia,Medellin,,,http://www.linkedin.com/company/comfama,
imageiD - Agencia Creativa,imageid.com.co,Colombia,Bogota,,,http://www.linkedin.com/company/imageid---soluciones-de-dise-o,
Hangi,hangi.co,Colombia,Bogota,,,http://www.linkedin.com/company/hangi,
GOintegro,gointegro.com,Argentina,Buenos Aires,,,http://www.linkedin.com/company/gointegro,
Satoshi Tango,satgo.co,Argentina,Buenos Aires,,,http://www.linkedin.com/company/satoshitango,
Aliancers,aliancers.com,Argentina,Buenos Aires,,,http://www.linkedin.com/company/aliancerslatam,
Mundos E,mundose.com,Argentina,GCA,,,http://www.linkedin.com/school/mundos-e,
Grupo NODS,gruponods.com,Argentina,Balnearia,,,http://www.linkedin.com/company/gruponods,
Socialhuge,socialhuge.io,France,Paris,,,http://www.linkedin.com/company/socialhuge,
